line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
17	1	1	0	0	7	1	0	0	2.66667	640	27	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	26	2.66667	640	1.33333	320
17	1	1	0	0	7	1	0	0	2.66667	640	39	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	26	2.66667	640	1.33333	320
17	4	4	0	0	5	1	0	0	2.66667	640	63	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	62	2.66667	640	1.33333	320
17	5	5	0	0	4	1	0	0	0.8	192	50	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	51	0.8	192	0.8	192
17	6	6	0	0	3	1	0	0	0.75	180	71	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	71	0.75	180	0.25	60
17	7	7	0	0	2	1	0	0	0.25	60	72	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	71	0.25	60	0.25	60
18	7	7	0	0	2	1	0.25	60	0.25	60	71	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0.25	60	66	0.5	120	0.25	60
19	7	7	0	0	2	1	0.5	120	0.25	60	66	0	0	0	0	0	0	0	0	0	0	0	71	0.25	60	0.25	60	69	0.75	180	0.25	60
19	8	8	0	0	1	1	0.5	120	1	240	77	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	83	1.5	360	0.5	120
20	6	6	0	0	3	1	0.75	180	0.25	60	71	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0.75	180	76	1	240	1	240
20	7	7	0	0	2	1	0.75	180	0.25	60	69	0	0	0	0	0	0	0	0	0	0	0	66	0.5	120	0.25	60	71	1	240	0.25	60
21	5	5	0	0	4	1	0.8	192	0.8	192	51	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0.8	192	54	1.6	384	0.4	96
22	6	6	0	0	3	1	1	240	1	240	76	0	0	0	0	0	0	0	0	0	0	0	71	0.75	180	0.25	60	74	2	480	1	240
22	7	7	0	0	2	1	1	240	0.25	60	71	0	0	0	0	0	0	0	0	0	0	0	69	0.75	180	0.25	60	70	1.25	300	0.25	60
23	7	7	0	0	2	1	1.25	300	0.25	60	70	0	0	0	0	0	0	0	0	0	0	0	71	1	240	0.25	60	65	1.5	360	0.25	60
24	7	7	0	0	2	1	1.5	360	0.25	60	65	0	0	0	0	0	0	0	0	0	0	0	70	1.25	300	0.25	60	72	1.75	420	0.75	180
24	8	8	0	0	1	1	1.5	360	0.5	120	83	0	0	0	0	0	0	0	0	0	0	0	77	0.5	120	1	240	87	2	480	0.333333	80
25	5	5	0	0	4	1	1.6	384	0.4	96	54	0	0	0	0	0	0	0	0	0	0	0	51	0.8	192	0.8	192	55	2	480	0.4	96
26	7	7	0	0	2	1	1.75	420	0.75	180	72	0	0	0	0	0	0	0	0	0	0	0	65	1.5	360	0.25	60	71	2.5	600	0.25	60
27	5	5	0	0	4	1	2	480	0.4	96	55	0	0	0	0	0	0	0	0	0	0	0	54	1.6	384	0.4	96	61	2.4	576	0.8	192
27	6	6	0	0	3	1	2	480	1	240	74	0	0	0	0	0	0	0	0	0	0	0	76	1	240	1	240	71	3	720	0.75	180
27	8	8	0	0	1	1	2	480	0.333333	80	87	0	0	0	0	0	0	0	0	0	0	0	83	1.5	360	0.5	120	85	2.33333	560	0.333333	80
28	8	8	0	0	1	1	2.33333	560	0.333333	80	85	0	0	0	0	0	0	0	0	0	0	0	87	2	480	0.333333	80	79	2.66667	640	0.333333	80
29	5	5	0	0	4	1	2.4	576	0.8	192	61	0	0	0	0	0	0	0	0	0	0	0	55	2	480	0.4	96	48	3.2	768	0.6	144
30	7	7	0	0	2	1	2.5	600	0.25	60	71	0	0	0	0	0	0	0	0	0	0	0	72	1.75	420	0.75	180	66	2.75	660	0.25	60
31	1	1	0	0	7	1	2.66667	640	1.33333	320	26	1	0	0	0	0	0	0	0	0	0	0	27	0	0	2.66667	640	28	4	960	1.33333	320
31	1	1	0	0	7	1	2.66667	640	1.33333	320	38	1	0	0	0	0	0	0	0	0	0	0	27	0	0	2.66667	640	28	4	960	1.33333	320
31	4	4	0	0	5	1	2.66667	640	1.33333	320	62	0	0	0	0	0	0	0	0	0	0	0	63	0	0	2.66667	640	64	4	960	1.33333	320
31	8	8	0	0	1	1	2.66667	640	0.333333	80	79	0	0	0	0	0	0	0	0	0	0	0	85	2.33333	560	0.333333	80	86	3	720	0.333333	80
