line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
17	6	6	0	0	1	25	0	0	0.5	1	63	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	64	0.5	1	0.5	1
18	6	6	0	0	1	25	0.5	1	0.5	1	64	0	0	0	0	0	0	0	0	0	0	1	63	0	0	0.5	1	60	1	2	0.5	1
19	1	1	0	0	4	25	1	2	0	0	53	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	54	1	2	1	2
20	1	1	0	0	4	25	1	2	1	2	54	0	0	0	0	0	0	0	0	0	0	1	53	1	2	0	0	55	2	4	1	2
20	6	6	0	0	1	25	1	2	0.5	1	60	0	0	0	0	0	0	0	0	0	1	0	64	0.5	1	0.5	1	62	1.5	3	0.5	1
21	6	6	0	0	1	25	1.5	3	0.5	1	62	0	0	0	0	0	0	0	0	0	0	0	60	1	2	0.5	1	63	2	4	0.5	1
22	1	1	0	0	4	25	2	4	1	2	55	0	0	0	0	0	0	0	0	0	0	0	54	1	2	1	2	55	4	8	0	0
22	6	6	0	0	1	25	2	4	0.5	1	63	0	0	0	0	0	0	0	0	0	0	0	62	1.5	3	0.5	1	64	2.5	5	0.5	1
23	6	6	0	0	1	25	2.5	5	0.5	1	64	0	0	0	0	0	0	0	0	0	0	1	63	2	4	0.5	1	60	3	6	0.5	1
24	6	6	0	0	1	25	3	6	0.5	1	60	0	0	0	0	0	0	0	0	0	1	0	64	2.5	5	0.5	1	62	3.5	7	0.5	1
25	6	6	0	0	1	25	3.5	7	0.5	1	62	0	0	0	0	0	0	0	0	0	0	0	60	3	6	0.5	1	63	4	8	0.5	1
27	1	1	0	0	4	26	4	8	0	0	55	0	0	0	0	0	0	0	0	0	1	0	55	2	4	1	2	56	4	8	1	2
28	1	1	0	0	4	26	4	8	1	2	56	0	0	0	0	0	0	0	0	0	0	1	55	4	8	0	0	57	5	10	1	2
28	6	6	0	0	1	26	4	8	0.5	1	63	0	0	0	0	0	0	0	0	0	0	0	62	3.5	7	0.5	1	64	4.5	9	0.5	1
29	6	6	0	0	1	26	4.5	9	0.5	1	64	0	0	0	0	0	0	0	0	0	0	1	63	4	8	0.5	1	69	10	20	0.5	1
30	1	1	0	0	4	26	5	10	1	2	57	0	0	0	0	0	0	0	0	0	0	0	56	4	8	1	2	57	7	14	0	0
30	4	4	0	0	2	26	5	10	0.5	1	61	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	62	5.5	11	0.5	1
31	4	4	0	0	2	26	5.5	11	0.5	1	62	0	0	0	0	0	0	0	0	0	0	0	61	5	10	0.5	1	64	6	12	0.5	1
32	4	4	0	0	2	26	6	12	0.5	1	64	0	0	0	0	0	0	0	0	0	0	0	62	5.5	11	0.5	1	65	6.5	13	0.5	1
33	4	4	0	0	2	26	6.5	13	0.5	1	65	0	0	0	0	0	0	0	0	0	0	0	64	6	12	0.5	1	66	7	14	0.5	1
34	1	1	0	0	4	26	7	14	0	0	57	0	0	0	0	0	0	0	0	0	1	0	57	5	10	1	2	58	7	14	1	2
