line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
18	1	1	0	1	5	46	0	0	0.5	3	37	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	49	0.5	3	0.5	3
19	1	1	0	1	5	46	0.5	3	0.5	3	49	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0.5	3	37	5	30	0.5	3
20	2	2	0	1	4	46	1	6	0.5	3	61	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	73	1.5	9	0.5	3
20	4	4	0	2	3	46	1	6	0.5	3	64	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	64	1.5	9	0.5	3
20	6	6	0	2	2	46	1	6	0.5	3	68	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	67	1.5	9	0.5	3
20	8	8	0	2	1	46	1	6	0.5	3	73	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	71	1.5	9	0.5	3
21	2	2	0	1	4	46	1.5	9	0.5	3	73	0	0	0	0	0	0	0	0	0	0	0	61	1	6	0.5	3	73	2	12	0.5	3
21	4	4	0	2	3	46	1.5	9	0.5	3	64	0	0	0	0	0	1	0	0	0	0	0	64	1	6	0.5	3	64	2	12	1	6
21	6	6	0	2	2	46	1.5	9	0.5	3	67	0	0	0	0	0	1	0	0	0	0	0	68	1	6	0.5	3	68	2	12	1	6
21	8	8	0	2	1	46	1.5	9	0.5	3	71	0	0	0	0	0	1	0	0	0	0	0	73	1	6	0.5	3	73	2	12	1	6
22	2	2	0	1	4	46	2	12	0.5	3	73	0	0	0	0	0	0	0	0	0	0	0	73	1.5	9	0.5	3	85	2.5	15	0.5	3
22	4	4	0	2	3	46	2	12	1	6	64	0	0	0	0	0	1	0	0	0	0	0	64	1.5	9	0.5	3	66	3	18	1	6
22	6	6	0	2	2	46	2	12	1	6	68	0	0	0	0	0	1	0	0	0	0	0	67	1.5	9	0.5	3	71	3	18	1	6
22	8	8	0	2	1	46	2	12	1	6	73	0	0	0	0	0	1	0	0	0	0	0	71	1.5	9	0.5	3	75	3	18	1	6
23	2	2	0	1	4	46	2.5	15	0.5	3	85	0	0	0	0	0	0	0	0	0	0	0	73	2	12	0.5	3	85	3	18	0.5	3
24	2	2	0	1	4	46	3	18	0.5	3	85	0	0	0	0	0	0	0	0	0	0	0	85	2.5	15	0.5	3	73	3.5	21	0.5	3
24	4	4	0	2	3	46	3	18	1	6	66	0	0	0	0	0	1	0	0	0	0	0	64	2	12	1	6	67	5	30	0.333333	2
24	6	6	0	2	2	46	3	18	1	6	71	0	0	0	0	0	1	0	0	0	0	0	68	2	12	1	6	73	5	30	0.333333	2
24	8	8	0	2	1	46	3	18	1	6	75	0	0	0	0	0	1	0	0	0	0	0	73	2	12	1	6	76	5	30	0.333333	2
25	2	2	0	1	4	46	3.5	21	0.5	3	73	0	0	0	0	0	0	0	0	0	0	0	85	3	18	0.5	3	73	4	24	0.5	3
26	2	2	0	1	4	46	4	24	0.5	3	73	0	0	0	0	0	0	0	0	0	0	0	73	3.5	21	0.5	3	61	4.5	27	0.5	3
27	2	2	0	1	4	46	4.5	27	0.5	3	61	0	0	0	0	0	0	0	0	0	0	0	73	4	24	0.5	3	61	6	36	0.5	3
29	1	1	0	1	5	47	5	30	0.5	3	37	0	0	0	0	0	0	0	0	0	0	0	49	0.5	3	0.5	3	49	5.5	33	0.5	3
29	4	4	0	2	3	47	5	30	0.333333	2	67	0	0	0	0	0	1	0	0	0	0	0	66	3	18	1	6	67	5.33333	32	0.333333	2
29	6	6	0	2	2	47	5	30	0.333333	2	73	0	0	0	0	0	1	0	0	0	0	0	71	3	18	1	6	73	5.33333	32	0.333333	2
29	8	8	0	2	1	47	5	30	0.333333	2	76	0	0	0	0	0	1	0	0	0	0	0	75	3	18	1	6	76	5.33333	32	0.333333	2
30	4	4	0	2	3	47	5.33333	32	0.333333	2	67	0	0	0	0	0	1	0	0	0	0	0	67	5	30	0.333333	2	67	5.66667	34	0.333333	2
30	6	6	0	2	2	47	5.33333	32	0.333333	2	73	0	0	0	0	0	1	0	0	0	0	0	73	5	30	0.333333	2	73	5.66667	34	0.333333	2
30	8	8	0	2	1	47	5.33333	32	0.333333	2	76	0	0	0	0	0	1	0	0	0	0	0	76	5	30	0.333333	2	76	5.66667	34	0.333333	2
31	1	1	0	1	5	47	5.5	33	0.5	3	49	0	0	0	0	0	0	0	0	0	0	0	37	5	30	0.5	3	37	10	60	0.5	3
32	4	4	0	2	3	47	5.66667	34	0.333333	2	67	0	0	0	0	0	1	0	0	0	0	0	67	5.33333	32	0.333333	2	66	6	36	1	6
32	6	6	0	2	2	47	5.66667	34	0.333333	2	73	0	0	0	0	0	1	0	0	0	0	0	73	5.33333	32	0.333333	2	71	6	36	1	6
32	8	8	0	2	1	47	5.66667	34	0.333333	2	76	0	0	0	0	0	1	0	0	0	0	0	76	5.33333	32	0.333333	2	74	6	36	1	6
33	2	2	0	1	4	47	6	36	0.5	3	61	0	0	0	0	0	0	0	0	0	0	0	61	4.5	27	0.5	3	73	6.5	39	0.5	3
33	4	4	0	2	3	47	6	36	1	6	66	0	0	0	0	0	1	0	0	0	0	0	67	5.66667	34	0.333333	2	64	7	42	1	6
33	6	6	0	2	2	47	6	36	1	6	71	0	0	0	0	0	1	0	0	0	0	0	73	5.66667	34	0.333333	2	68	7	42	1	6
33	8	8	0	2	1	47	6	36	1	6	74	0	0	0	0	0	1	0	0	0	0	0	76	5.66667	34	0.333333	2	73	7	42	1	6
34	2	2	0	1	4	47	6.5	39	0.5	3	73	0	0	0	0	0	0	0	0	0	0	0	61	6	36	0.5	3	73	7	42	0.5	3
35	2	2	0	1	4	47	7	42	0.5	3	73	0	0	0	0	0	0	0	0	0	0	0	73	6.5	39	0.5	3	85	7.5	45	0.5	3
35	4	4	0	2	3	47	7	42	1	6	64	0	0	0	0	0	1	0	0	0	0	0	66	6	36	1	6	66	9	54	0.333333	2
35	6	6	0	2	2	47	7	42	1	6	68	0	0	0	0	0	1	0	0	0	0	0	71	6	36	1	6	70	9	54	0.333333	2
35	8	8	0	2	1	47	7	42	1	6	73	0	0	0	0	0	1	0	0	0	0	0	74	6	36	1	6	73	9	54	0.333333	2
36	2	2	0	1	4	47	7.5	45	0.5	3	85	0	0	0	0	0	0	0	0	0	0	0	73	7	42	0.5	3	85	8	48	0.5	3
