notes	position
0	0
0	8
0	16
0	24
0	32
0	36
0	40
1	48
1	51
1	54
0	56
1	57
1	60
1	63
0	64
1	66
1	69
0	72
0	80
0	84
0	88
0	96
0	104
0	112
0	120
0	128
0	132
0	136
1	144
1	147
1	150
0	152
1	153
1	156
1	159
0	160
1	162
1	165
0	168
0	176
0	180
0	184
