line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
17	1	1	0	0	4	133	0	0	4	8	39	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	27	4	8	4	8
17	1	1	0	0	4	133	0	0	4	8	51	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	27	4	8	4	8
17	2	2	0	0	3	133	0	0	0.5	1	63	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	63	1	2	0.5	1
17	2	2	0	0	3	133	0	0	0.5	1	66	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	63	1	2	0.5	1
17	2	2	0	0	3	133	0	0	0.5	1	70	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	63	1	2	0.5	1
17	4	4	0	0	2	133	0	0	2	4	51	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	58	2	4	1	2
17	6	6	0	0	1	133	0	0	0.5	1	75	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	78	0.5	1	1	2
18	6	6	0	0	1	133	0.5	1	1	2	78	0	0	0	0	0	0	0	0	0	0	1	75	0	0	0.5	1	75	1.5	3	0.5	1
19	2	2	0	0	3	133	1	2	0.5	1	63	0	0	0	0	0	1	0	0	0	0	0	63	0	0	0.5	1	78	1.5	3	1	2
20	2	2	0	0	3	133	1.5	3	1	2	78	0	0	0	0	0	0	0	0	0	0	0	63	1	2	0.5	1	66	2.5	5	0.5	1
20	6	6	0	0	1	133	1.5	3	0.5	1	75	0	0	0	0	0	0	0	0	0	1	0	78	0.5	1	1	2	82	2	4	1	2
22	4	4	0	0	2	134	2	4	1	2	58	0	0	0	0	0	0	0	0	0	0	1	51	0	0	2	4	59	3	6	1	2
22	6	6	0	0	1	134	2	4	1	2	82	0	0	0	0	0	0	0	0	0	0	0	75	1.5	3	0.5	1	81	3	6	1	2
23	2	2	0	0	3	134	2.5	5	0.5	1	66	0	0	0	0	0	1	0	0	0	0	0	78	1.5	3	1	2	75	3	6	0.5	1
24	2	2	0	0	3	134	3	6	0.5	1	75	0	0	0	0	0	1	0	0	0	0	0	66	2.5	5	0.5	1	65	4	8	0.5	1
24	4	4	0	0	2	134	3	6	1	2	59	0	0	0	0	0	0	0	0	0	1	0	58	2	4	1	2	62	4	8	1	2
24	6	6	0	0	1	134	3	6	1	2	81	0	0	0	0	0	0	0	0	0	0	0	82	2	4	1	2	77	4	8	1	2
27	1	1	0	0	4	135	4	8	4	8	27	1	0	0	0	0	0	0	0	0	0	0	39	0	0	4	8	39	8	16	2	4
27	1	1	0	0	4	135	4	8	4	8	39	1	0	0	0	0	0	0	0	0	0	0	39	0	0	4	8	39	8	16	2	4
27	2	2	0	0	3	135	4	8	0.5	1	65	0	0	0	0	0	1	0	0	0	0	0	75	3	6	0.5	1	74	4.5	9	1	2
27	4	4	0	0	2	135	4	8	1	2	62	0	0	0	0	0	0	0	0	0	0	1	59	3	6	1	2	59	5	10	0.5	1
27	6	6	0	0	1	135	4	8	1	2	77	0	0	0	0	0	0	0	0	0	0	1	81	3	6	1	2	83	5	10	0.5	1
