line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
17	1	1	0	0	3	35	0	0	0.5	6	40	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	45	1.5	18	0.5	6
17	2	2	0	0	2	35	0	0	0.5	6	59	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	58	0.5	6	0	0
18	2	2	0	0	2	35	0.5	6	0	0	58	0	0	0	0	0	0	0	0	0	1	0	59	0	0	0.5	6	59	0.5	6	0.5	6
19	2	2	0	0	2	35	0.5	6	0.5	6	59	0	0	0	0	0	0	0	0	0	0	1	58	0.5	6	0	0	61	1	12	0.5	6
19	3	3	0	0	1	35	0.5	6	1	12	70	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	69	1.5	18	1	12
20	2	2	0	0	2	35	1	12	0.5	6	61	0	0	0	0	1	1	0	0	0	0	0	59	0.5	6	0.5	6	62	1.5	18	0	0
22	2	2	0	0	2	35	1.5	18	0	0	62	0	0	0	0	0	0	0	0	0	1	0	61	1	12	0.5	6	64	1.5	18	0.5	6
23	1	1	0	0	3	35	1.5	18	0.5	6	45	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0.5	6	42	3	36	0.5	6
23	2	2	0	0	2	35	1.5	18	0.5	6	64	0	0	0	0	0	0	0	0	0	1	1	62	1.5	18	0	0	65	2	24	1	12
23	3	3	0	0	1	35	1.5	18	1	12	69	0	0	0	0	0	0	0	0	0	0	0	70	0.5	6	1	12	58	2.5	30	1	12
24	2	2	0	0	2	35	2	24	1	12	65	0	0	0	0	0	0	0	0	0	0	1	64	1.5	18	0.5	6	65	3.5	42	0	0
25	3	3	0	0	1	35	2.5	30	1	12	58	0	0	0	0	0	0	0	0	0	0	0	69	1.5	18	1	12	68	3.5	42	2	24
27	1	1	0	0	3	36	3	36	0.5	6	42	0	0	0	0	0	0	0	0	0	0	0	45	1.5	18	0.5	6	35	4.5	54	0.5	6
28	2	2	0	0	2	36	3.5	42	0	0	65	0	0	0	0	0	0	0	0	0	1	0	65	2	24	1	12	66	3.5	42	0.5	6
29	2	2	0	0	2	36	3.5	42	0.5	6	66	0	0	0	0	0	0	0	0	0	1	1	65	3.5	42	0	0	65	4	48	0.5	6
29	3	3	0	0	1	36	3.5	42	2	24	68	0	0	0	0	0	0	0	0	0	0	0	58	2.5	30	1	12	68	5.5	66	0.5	6
30	2	2	0	0	2	36	4	48	0.5	6	65	0	0	0	0	0	0	0	0	0	0	0	66	3.5	42	0.5	6	66	4.5	54	0.5	6
31	1	1	0	0	3	36	4.5	54	0.5	6	35	0	0	0	0	0	0	0	0	0	0	0	42	3	36	0.5	6	31	6	72	0.5	6
31	2	2	0	0	2	36	4.5	54	0.5	6	66	0	0	0	0	0	0	0	0	0	0	0	65	4	48	0.5	6	65	5	60	0.5	6
32	2	2	0	0	2	36	5	60	0.5	6	65	0	0	0	0	0	0	0	0	0	0	0	66	4.5	54	0.5	6	63	5.5	66	0.5	6
