line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
18	1	1	1	0	3	95	0	0	5	20	42	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	42	6	24	8	32
18	2	1	2	0	3	95	0	0	3	12	30	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	30	9	36	7	28
18	3	2	0	0	2	95	0	0	1	4	56	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	59	1	4	1	4
18	3	2	0	0	2	95	0	0	1	4	64	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	59	1	4	1	4
18	3	2	0	0	2	95	0	0	1	4	65	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	59	1	4	1	4
19	3	2	0	0	2	95	1	4	1	4	59	1	0	0	0	0	0	0	0	0	0	0	56	0	0	1	4	56	2	8	1	4
19	3	2	0	0	2	95	1	4	1	4	62	1	0	0	0	0	0	0	0	0	0	0	56	0	0	1	4	56	2	8	1	4
19	3	2	0	0	2	95	1	4	1	4	65	1	0	0	0	0	0	0	0	0	0	0	56	0	0	1	4	56	2	8	1	4
20	4	3	0	0	1	95	1.5	6	3	12	70	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	70	4.5	18	1.5	6
21	3	2	0	0	2	95	2	8	1	4	56	1	0	0	0	0	0	0	0	0	0	0	59	1	4	1	4	59	3	12	1	4
21	3	2	0	0	2	95	2	8	1	4	64	1	0	0	0	0	0	0	0	0	0	0	59	1	4	1	4	59	3	12	1	4
21	3	2	0	0	2	95	2	8	1	4	65	1	0	0	0	0	0	0	0	0	0	0	59	1	4	1	4	59	3	12	1	4
23	3	2	0	0	2	96	3	12	1	4	59	1	0	0	0	0	0	0	0	0	0	0	56	2	8	1	4	56	4	16	1	4
23	3	2	0	0	2	96	3	12	1	4	62	1	0	0	0	0	0	0	0	0	0	0	56	2	8	1	4	56	4	16	1	4
23	3	2	0	0	2	96	3	12	1	4	65	1	0	0	0	0	0	0	0	0	0	0	56	2	8	1	4	56	4	16	1	4
24	3	2	0	0	2	96	4	16	1	4	56	1	0	0	0	0	0	0	0	0	0	0	59	3	12	1	4	59	5	20	1	4
24	3	2	0	0	2	96	4	16	1	4	64	1	0	0	0	0	0	0	0	0	0	0	59	3	12	1	4	59	5	20	1	4
24	3	2	0	0	2	96	4	16	1	4	65	1	0	0	0	0	0	0	0	0	0	0	59	3	12	1	4	59	5	20	1	4
25	4	3	0	0	1	96	4.5	18	1.5	6	70	0	0	0	0	1	0	0	0	0	0	0	70	1.5	6	3	12	73	6	24	1.5	6
26	3	2	0	0	2	96	5	20	1	4	59	1	0	0	0	0	0	0	0	0	0	0	56	4	16	1	4	56	6	24	1	4
26	3	2	0	0	2	96	5	20	1	4	62	1	0	0	0	0	0	0	0	0	0	0	56	4	16	1	4	56	6	24	1	4
26	3	2	0	0	2	96	5	20	1	4	65	1	0	0	0	0	0	0	0	0	0	0	56	4	16	1	4	56	6	24	1	4
28	1	1	1	0	3	97	6	24	8	32	42	0	0	0	0	0	0	0	0	0	0	0	42	0	0	5	20	42	15	60	8	32
28	3	2	0	0	2	97	6	24	1	4	56	1	0	0	0	0	0	0	0	0	0	0	59	5	20	1	4	59	7	28	1	4
28	3	2	0	0	2	97	6	24	1	4	64	1	0	0	0	0	0	0	0	0	0	0	59	5	20	1	4	59	7	28	1	4
28	3	2	0	0	2	97	6	24	1	4	65	1	0	0	0	0	0	0	0	0	0	0	59	5	20	1	4	59	7	28	1	4
28	4	3	0	0	1	97	6	24	1.5	6	73	0	0	0	0	1	0	0	0	0	0	0	70	4.5	18	1.5	6	70	7.5	30	1.5	6
29	3	2	0	0	2	97	7	28	1	4	59	1	0	0	0	0	0	0	0	0	0	0	56	6	24	1	4	56	8	32	1	4
29	3	2	0	0	2	97	7	28	1	4	62	1	0	0	0	0	0	0	0	0	0	0	56	6	24	1	4	56	8	32	1	4
29	3	2	0	0	2	97	7	28	1	4	65	1	0	0	0	0	0	0	0	0	0	0	56	6	24	1	4	56	8	32	1	4
30	4	3	0	0	1	97	7.5	30	1.5	6	70	0	0	0	0	1	0	0	0	0	0	0	73	6	24	1.5	6	69	9	36	6	24
31	3	2	0	0	2	97	8	32	1	4	56	1	0	0	0	0	0	0	0	0	0	0	59	7	28	1	4	55	9	36	1	4
31	3	2	0	0	2	97	8	32	1	4	64	1	0	0	0	0	0	0	0	0	0	0	59	7	28	1	4	55	9	36	1	4
31	3	2	0	0	2	97	8	32	1	4	65	1	0	0	0	0	0	0	0	0	0	0	59	7	28	1	4	55	9	36	1	4
33	2	1	2	0	3	98	9	36	7	28	30	0	0	0	0	0	0	0	0	0	0	0	30	0	0	3	12	30	18	72	7	28
33	3	2	0	0	2	98	9	36	1	4	55	1	0	0	0	0	0	0	0	0	0	0	56	8	32	1	4	58	10	40	1	4
33	3	2	0	0	2	98	9	36	1	4	62	1	0	0	0	0	0	0	0	0	0	0	56	8	32	1	4	58	10	40	1	4
33	3	2	0	0	2	98	9	36	1	4	64	1	0	0	0	0	0	0	0	0	0	0	56	8	32	1	4	58	10	40	1	4
33	4	3	0	0	1	98	9	36	6	24	69	0	0	0	0	0	0	0	0	0	0	0	70	7.5	30	1.5	6	66	16.5	66	3.75	15
34	3	2	0	0	2	98	10	40	1	4	58	1	0	0	0	0	0	0	0	0	0	0	55	9	36	1	4	55	11	44	1	4
34	3	2	0	0	2	98	10	40	1	4	61	1	0	0	0	0	0	0	0	0	0	0	55	9	36	1	4	55	11	44	1	4
34	3	2	0	0	2	98	10	40	1	4	64	1	0	0	0	0	0	0	0	0	0	0	55	9	36	1	4	55	11	44	1	4
35	3	2	0	0	2	98	11	44	1	4	55	1	0	0	0	0	0	0	0	0	0	1	58	10	40	1	4	58	12	48	1	4
35	3	2	0	0	2	98	11	44	1	4	62	1	0	0	0	0	0	0	0	0	0	1	58	10	40	1	4	58	12	48	1	4
35	3	2	0	0	2	98	11	44	1	4	64	1	0	0	0	0	0	0	0	0	0	1	58	10	40	1	4	58	12	48	1	4
37	3	2	0	0	2	99	12	48	1	4	58	1	0	0	0	0	0	0	0	0	1	0	55	11	44	1	4	55	13	52	1	4
37	3	2	0	0	2	99	12	48	1	4	61	1	0	0	0	0	0	0	0	0	1	0	55	11	44	1	4	55	13	52	1	4
37	3	2	0	0	2	99	12	48	1	4	64	1	0	0	0	0	0	0	0	0	1	0	55	11	44	1	4	55	13	52	1	4
38	3	2	0	0	2	99	13	52	1	4	55	1	0	0	0	0	0	0	0	0	0	0	58	12	48	1	4	58	14	56	1	4
38	3	2	0	0	2	99	13	52	1	4	62	1	0	0	0	0	0	0	0	0	0	0	58	12	48	1	4	58	14	56	1	4
38	3	2	0	0	2	99	13	52	1	4	64	1	0	0	0	0	0	0	0	0	0	0	58	12	48	1	4	58	14	56	1	4
39	3	2	0	0	2	99	14	56	1	4	58	1	0	0	0	0	0	0	0	0	0	0	55	13	52	1	4	55	15	60	1	4
39	3	2	0	0	2	99	14	56	1	4	61	1	0	0	0	0	0	0	0	0	0	0	55	13	52	1	4	55	15	60	1	4
39	3	2	0	0	2	99	14	56	1	4	64	1	0	0	0	0	0	0	0	0	0	0	55	13	52	1	4	55	15	60	1	4
41	1	1	1	0	3	100	15	60	8	32	42	0	0	0	0	0	0	0	0	0	0	0	42	6	24	8	32	42	24	96	8	32
41	3	2	0	0	2	100	15	60	1	4	55	1	0	0	0	0	0	0	0	0	0	0	58	14	56	1	4	58	16	64	1	4
41	3	2	0	0	2	100	15	60	1	4	62	1	0	0	0	0	0	0	0	0	0	0	58	14	56	1	4	58	16	64	1	4
41	3	2	0	0	2	100	15	60	1	4	64	1	0	0	0	0	0	0	0	0	0	0	58	14	56	1	4	58	16	64	1	4
42	3	2	0	0	2	100	16	64	1	4	58	1	0	0	0	0	0	0	0	0	0	0	55	15	60	1	4	55	17	68	1	4
42	3	2	0	0	2	100	16	64	1	4	61	1	0	0	0	0	0	0	0	0	0	0	55	15	60	1	4	55	17	68	1	4
42	3	2	0	0	2	100	16	64	1	4	64	1	0	0	0	0	0	0	0	0	0	0	55	15	60	1	4	55	17	68	1	4
43	4	3	0	0	1	100	16.5	66	3.75	15	66	0	0	0	0	0	0	0	0	0	1	0	69	9	36	6	24	67	20.25	81	0.75	3
44	3	2	0	0	2	100	17	68	1	4	55	1	0	0	0	0	0	0	0	0	0	0	58	16	64	1	4	58	18	72	1	4
44	3	2	0	0	2	100	17	68	1	4	62	1	0	0	0	0	0	0	0	0	0	0	58	16	64	1	4	58	18	72	1	4
44	3	2	0	0	2	100	17	68	1	4	64	1	0	0	0	0	0	0	0	0	0	0	58	16	64	1	4	58	18	72	1	4
46	2	1	2	0	3	101	18	72	7	28	30	0	0	0	0	0	0	0	0	0	0	0	30	9	36	7	28	30	27	108	8	32
46	3	2	0	0	2	101	18	72	1	4	58	1	0	0	0	0	0	0	0	0	0	0	55	17	68	1	4	55	19	76	1	4
46	3	2	0	0	2	101	18	72	1	4	61	1	0	0	0	0	0	0	0	0	0	0	55	17	68	1	4	55	19	76	1	4
46	3	2	0	0	2	101	18	72	1	4	64	1	0	0	0	0	0	0	0	0	0	0	55	17	68	1	4	55	19	76	1	4
47	3	2	0	0	2	101	19	76	1	4	55	1	0	0	0	0	0	0	0	0	0	0	58	18	72	1	4	58	20	80	1	4
47	3	2	0	0	2	101	19	76	1	4	62	1	0	0	0	0	0	0	0	0	0	0	58	18	72	1	4	58	20	80	1	4
47	3	2	0	0	2	101	19	76	1	4	64	1	0	0	0	0	0	0	0	0	0	0	58	18	72	1	4	58	20	80	1	4
48	3	2	0	0	2	101	20	80	1	4	58	1	0	0	0	0	0	0	0	0	0	0	55	19	76	1	4	56	21	84	1	4
48	3	2	0	0	2	101	20	80	1	4	61	1	0	0	0	0	0	0	0	0	0	0	55	19	76	1	4	56	21	84	1	4
48	3	2	0	0	2	101	20	80	1	4	64	1	0	0	0	0	0	0	0	0	0	0	55	19	76	1	4	56	21	84	1	4
49	4	3	0	0	1	101	20.25	81	0.75	3	67	0	0	0	0	0	0	0	0	0	0	1	66	16.5	66	3.75	15	69	21	84	0.75	3
51	3	2	0	0	2	102	21	84	1	4	56	1	0	0	0	0	0	0	0	0	0	0	58	20	80	1	4	59	22	88	1	4
51	3	2	0	0	2	102	21	84	1	4	64	1	0	0	0	0	0	0	0	0	0	0	58	20	80	1	4	59	22	88	1	4
51	3	2	0	0	2	102	21	84	1	4	65	1	0	0	0	0	0	0	0	0	0	0	58	20	80	1	4	59	22	88	1	4
51	4	3	0	0	1	102	21	84	0.75	3	69	0	0	0	0	0	0	0	0	0	1	0	67	20.25	81	0.75	3	71	21.75	87	0.75	3
52	4	3	0	0	1	102	21.75	87	0.75	3	71	0	0	0	0	0	0	0	0	0	0	0	69	21	84	0.75	3	72	22.5	90	0.75	3
53	3	2	0	0	2	102	22	88	1	4	59	1	0	0	0	0	0	0	0	0	0	0	56	21	84	1	4	56	23	92	1	4
53	3	2	0	0	2	102	22	88	1	4	62	1	0	0	0	0	0	0	0	0	0	0	56	21	84	1	4	56	23	92	1	4
53	3	2	0	0	2	102	22	88	1	4	65	1	0	0	0	0	0	0	0	0	0	0	56	21	84	1	4	56	23	92	1	4
54	4	3	0	0	1	102	22.5	90	0.75	3	72	0	0	0	0	0	0	0	0	0	0	0	71	21.75	87	0.75	3	74	23.25	93	0.75	3
55	3	2	0	0	2	102	23	92	1	4	56	1	0	0	0	0	0	0	0	0	0	0	59	22	88	1	4	58	24	96	1	4
55	3	2	0	0	2	102	23	92	1	4	64	1	0	0	0	0	0	0	0	0	0	0	59	22	88	1	4	58	24	96	1	4
55	3	2	0	0	2	102	23	92	1	4	65	1	0	0	0	0	0	0	0	0	0	0	59	22	88	1	4	58	24	96	1	4
56	4	3	0	0	1	102	23.25	93	0.75	3	74	0	0	0	0	0	0	0	0	0	0	1	72	22.5	90	0.75	3	75	24	96	1.5	6
58	1	1	1	0	3	103	24	96	8	32	42	0	0	0	0	0	0	0	0	0	0	0	42	15	60	8	32	42	33	132	2	8
58	3	2	0	0	2	103	24	96	1	4	58	1	0	0	0	0	0	0	0	0	0	0	56	23	92	1	4	63	25	100	1	4
58	3	2	0	0	2	103	24	96	1	4	65	1	0	0	0	0	0	0	0	0	0	0	56	23	92	1	4	63	25	100	1	4
58	3	2	0	0	2	103	24	96	1	4	67	1	0	0	0	0	0	0	0	0	0	0	56	23	92	1	4	63	25	100	1	4
58	4	3	0	0	1	103	24	96	1.5	6	75	0	0	0	0	1	0	0	0	0	1	0	74	23.25	93	0.75	3	73	25.5	102	1.5	6
59	3	2	0	0	2	103	25	100	1	4	63	1	0	0	0	0	0	0	0	0	0	0	58	24	96	1	4	58	26	104	1	4
59	3	2	0	0	2	103	25	100	1	4	65	1	0	0	0	0	0	0	0	0	0	0	58	24	96	1	4	58	26	104	1	4
59	3	2	0	0	2	103	25	100	1	4	69	1	0	0	0	0	0	0	0	0	0	0	58	24	96	1	4	58	26	104	1	4
60	4	3	0	0	1	103	25.5	102	1.5	6	73	0	0	0	0	1	0	0	0	0	0	0	75	24	96	1.5	6	72	27	108	1.5	6
61	3	2	0	0	2	103	26	104	1	4	58	1	0	0	0	0	0	0	0	0	0	0	63	25	100	1	4	63	27	108	1	4
61	3	2	0	0	2	103	26	104	1	4	65	1	0	0	0	0	0	0	0	0	0	0	63	25	100	1	4	63	27	108	1	4
61	3	2	0	0	2	103	26	104	1	4	67	1	0	0	0	0	0	0	0	0	0	0	63	25	100	1	4	63	27	108	1	4
63	2	1	2	0	3	104	27	108	8	32	30	0	0	0	0	0	0	0	0	0	0	0	30	18	72	7	28	23	36	144	8	32
63	3	2	0	0	2	104	27	108	1	4	63	1	0	0	0	0	0	0	0	0	0	0	58	26	104	1	4	58	28	112	1	4
63	3	2	0	0	2	104	27	108	1	4	65	1	0	0	0	0	0	0	0	0	0	0	58	26	104	1	4	58	28	112	1	4
63	3	2	0	0	2	104	27	108	1	4	69	1	0	0	0	0	0	0	0	0	0	0	58	26	104	1	4	58	28	112	1	4
63	4	3	0	0	1	104	27	108	1.5	6	72	0	0	0	0	1	0	0	0	0	0	0	73	25.5	102	1.5	6	70	28.5	114	1.5	6
64	3	2	0	0	2	104	28	112	1	4	58	1	0	0	0	0	0	0	0	0	0	0	63	27	108	1	4	63	29	116	1	4
64	3	2	0	0	2	104	28	112	1	4	65	1	0	0	0	0	0	0	0	0	0	0	63	27	108	1	4	63	29	116	1	4
64	3	2	0	0	2	104	28	112	1	4	67	1	0	0	0	0	0	0	0	0	0	0	63	27	108	1	4	63	29	116	1	4
65	4	3	0	0	1	104	28.5	114	1.5	6	70	0	0	0	0	1	0	0	0	0	0	1	72	27	108	1.5	6	76	30	120	1.5	6
66	3	2	0	0	2	104	29	116	1	4	63	1	0	0	0	0	0	0	0	0	0	1	58	28	112	1	4	59	30	120	1	4
66	3	2	0	0	2	104	29	116	1	4	65	1	0	0	0	0	0	0	0	0	0	1	58	28	112	1	4	59	30	120	1	4
66	3	2	0	0	2	104	29	116	1	4	69	1	0	0	0	0	0	0	0	0	0	1	58	28	112	1	4	59	30	120	1	4
68	3	2	0	0	2	105	30	120	1	4	59	1	0	0	0	0	0	0	0	0	1	0	63	29	116	1	4	62	31	124	1	4
