line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur	note
"17"	"1"	"1"	"0"	"0"	"4"	"52"	"0"	"0"	"0.25"	"1"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"43"	"0.25"	"1"	"0.25"	"1"	"1"
"17"	"2"	"2"	"0"	"0"	"3"	"52"	"0"	"0"	"0.25"	"1"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"63"	"0.25"	"1"	"0.25"	"1"	"1"
"17"	"4"	"4"	"0"	"0"	"2"	"52"	"0"	"0"	"2"	"8"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"53"	"3.75"	"15"	"0.25"	"1"	"1"
"17"	"6"	"6"	"0"	"0"	"1"	"52"	"0"	"0"	"0.75"	"3"	"72"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"70"	"0.75"	"3"	"0.25"	"1"	"1"
"18"	"1"	"1"	"0"	"0"	"4"	"52"	"0.25"	"1"	"0.25"	"1"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"48"	"0"	"0"	"0.25"	"1"	"48"	"0.5"	"2"	"0.25"	"1"	"1"
"18"	"2"	"2"	"0"	"0"	"3"	"52"	"0.25"	"1"	"0.25"	"1"	"63"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"0"	"0"	"0.25"	"1"	"67"	"0.5"	"2"	"0.25"	"1"	"1"
"19"	"1"	"1"	"0"	"0"	"4"	"52"	"0.5"	"2"	"0.25"	"1"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"43"	"0.25"	"1"	"0.25"	"1"	"46"	"0.75"	"3"	"0.25"	"1"	"1"
"19"	"2"	"2"	"0"	"0"	"3"	"52"	"0.5"	"2"	"0.25"	"1"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"63"	"0.25"	"1"	"0.25"	"1"	"61"	"0.75"	"3"	"0.25"	"1"	"1"
"20"	"1"	"1"	"0"	"0"	"4"	"52"	"0.75"	"3"	"0.25"	"1"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"48"	"0.5"	"2"	"0.25"	"1"	"48"	"1"	"4"	"0.25"	"1"	"1"
"20"	"2"	"2"	"0"	"0"	"3"	"52"	"0.75"	"3"	"0.25"	"1"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"0.5"	"2"	"0.25"	"1"	"67"	"1"	"4"	"0.25"	"1"	"1"
