line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur	note
"19"	"1"	"1"	"0"	"0"	"3"	"23"	"0"	"0"	"0.25"	"1"	"29"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"31"	"0.25"	"1"	"0.25"	"1"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"19"	"1"	"1"	"0"	"0"	"3"	"23"	"0"	"0"	"0.25"	"1"	"35"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"31"	"0.25"	"1"	"0.25"	"1"	"1"
"19"	"1"	"1"	"0"	"0"	"3"	"23"	"0"	"0"	"0.25"	"1"	"40"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"31"	"0.25"	"1"	"0.25"	"1"	"1"
"19"	"4"	"4"	"1"	"0"	"1"	"23"	"0"	"0"	"1"	"4"	"75"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"75"	"1"	"4"	"1"	"4"	"1"
"20"	"1"	"1"	"0"	"0"	"3"	"23"	"0.25"	"1"	"0.25"	"1"	"31"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"29"	"0"	"0"	"0.25"	"1"	"25"	"0.5"	"2"	"0.25"	"1"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"20"	"1"	"1"	"0"	"0"	"3"	"23"	"0.25"	"1"	"0.25"	"1"	"36"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"29"	"0"	"0"	"0.25"	"1"	"25"	"0.5"	"2"	"0.25"	"1"	"1"
"20"	"1"	"1"	"0"	"0"	"3"	"23"	"0.25"	"1"	"0.25"	"1"	"39"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"29"	"0"	"0"	"0.25"	"1"	"25"	"0.5"	"2"	"0.25"	"1"	"1"
"21"	"1"	"1"	"0"	"0"	"3"	"23"	"0.5"	"2"	"0.25"	"1"	"25"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"31"	"0.25"	"1"	"0.25"	"1"	"26"	"0.75"	"3"	"0.25"	"1"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"21"	"1"	"1"	"0"	"0"	"3"	"23"	"0.5"	"2"	"0.25"	"1"	"28"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"31"	"0.25"	"1"	"0.25"	"1"	"26"	"0.75"	"3"	"0.25"	"1"	"1"
"21"	"1"	"1"	"0"	"0"	"3"	"23"	"0.5"	"2"	"0.25"	"1"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"31"	"0.25"	"1"	"0.25"	"1"	"26"	"0.75"	"3"	"0.25"	"1"	"1"
"22"	"1"	"1"	"0"	"0"	"3"	"23"	"0.75"	"3"	"0.25"	"1"	"26"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"25"	"0.5"	"2"	"0.25"	"1"	"23"	"1"	"4"	"0.25"	"1"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"22"	"1"	"1"	"0"	"0"	"3"	"23"	"0.75"	"3"	"0.25"	"1"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"25"	"0.5"	"2"	"0.25"	"1"	"23"	"1"	"4"	"0.25"	"1"	"1"
"22"	"1"	"1"	"0"	"0"	"3"	"23"	"0.75"	"3"	"0.25"	"1"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"25"	"0.5"	"2"	"0.25"	"1"	"23"	"1"	"4"	"0.25"	"1"	"1"
"23"	"1"	"1"	"0"	"0"	"3"	"23"	"1"	"4"	"0.25"	"1"	"23"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"26"	"0.75"	"3"	"0.25"	"1"	"32"	"1.25"	"5"	"0.25"	"1"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"23"	"1"	"1"	"0"	"0"	"3"	"23"	"1"	"4"	"0.25"	"1"	"28"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"26"	"0.75"	"3"	"0.25"	"1"	"32"	"1.25"	"5"	"0.25"	"1"	"1"
"23"	"1"	"1"	"0"	"0"	"3"	"23"	"1"	"4"	"0.25"	"1"	"33"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"26"	"0.75"	"3"	"0.25"	"1"	"32"	"1.25"	"5"	"0.25"	"1"	"1"
"23"	"4"	"4"	"1"	"0"	"1"	"23"	"1"	"4"	"1"	"4"	"75"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"75"	"0"	"0"	"1"	"4"	"75"	"2"	"8"	"1"	"4"	"1"
"23"	"5"	"4"	"2"	"0"	"1"	"23"	"1"	"4"	"1"	"4"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"68"	"2"	"8"	"1"	"4"	"1"
"24"	"1"	"1"	"0"	"0"	"3"	"23"	"1.25"	"5"	"0.25"	"1"	"32"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"23"	"1"	"4"	"0.25"	"1"	"29"	"1.5"	"6"	"0.25"	"1"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"24"	"1"	"1"	"0"	"0"	"3"	"23"	"1.25"	"5"	"0.25"	"1"	"36"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"23"	"1"	"4"	"0.25"	"1"	"29"	"1.5"	"6"	"0.25"	"1"	"1"
"24"	"1"	"1"	"0"	"0"	"3"	"23"	"1.25"	"5"	"0.25"	"1"	"38"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"23"	"1"	"4"	"0.25"	"1"	"29"	"1.5"	"6"	"0.25"	"1"	"1"
"25"	"1"	"1"	"0"	"0"	"3"	"23"	"1.5"	"6"	"0.25"	"1"	"29"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"32"	"1.25"	"5"	"0.25"	"1"	"31"	"1.75"	"7"	"0.25"	"1"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
