line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur	note
"17"	"1"	"1"	"0"	"0"	"3"	"115"	"0"	"0"	"0.5"	"1"	"58"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"33"	"1.5"	"3"	"0.5"	"1"	"1"
"17"	"1"	"1"	"0"	"0"	"3"	"115"	"0"	"0"	"0.5"	"1"	"62"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"33"	"1.5"	"3"	"0.5"	"1"	"1"
"17"	"1"	"1"	"0"	"0"	"3"	"115"	"0"	"0"	"0.5"	"1"	"65"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"33"	"1.5"	"3"	"0.5"	"1"	"1"
"17"	"2"	"2"	"0"	"0"	"2"	"115"	"0"	"0"	"0.5"	"1"	"81"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"57"	"1.5"	"3"	"0.5"	"1"	"1"
"18"	"4"	"4"	"0"	"0"	"1"	"115"	"0.5"	"1"	"0"	"0"	"71"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"69"	"0.5"	"1"	"0.5"	"1"	"1"
"18"	"4"	"4"	"0"	"0"	"1"	"115"	"0.5"	"1"	"0"	"0"	"74"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"69"	"0.5"	"1"	"0.5"	"1"	"1"
"19"	"4"	"4"	"0"	"0"	"1"	"115"	"0.5"	"1"	"0.5"	"1"	"69"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"0.5"	"1"	"0"	"0"	"62"	"1"	"2"	"1"	"2"	"1"
"19"	"4"	"4"	"0"	"0"	"1"	"115"	"0.5"	"1"	"0.5"	"1"	"76"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"0.5"	"1"	"0"	"0"	"62"	"1"	"2"	"1"	"2"	"1"
"20"	"4"	"4"	"0"	"0"	"1"	"115"	"1"	"2"	"1"	"2"	"62"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"69"	"0.5"	"1"	"0.5"	"1"	"67"	"2"	"4"	"1"	"2"	"1"
"20"	"4"	"4"	"0"	"0"	"1"	"115"	"1"	"2"	"1"	"2"	"69"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"69"	"0.5"	"1"	"0.5"	"1"	"67"	"2"	"4"	"1"	"2"	"1"
"21"	"1"	"1"	"0"	"0"	"3"	"115"	"1.5"	"3"	"0.5"	"1"	"33"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"58"	"0"	"0"	"0.5"	"1"	"34"	"2"	"4"	"0.5"	"1"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"21"	"1"	"1"	"0"	"0"	"3"	"115"	"1.5"	"3"	"0.5"	"1"	"45"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"58"	"0"	"0"	"0.5"	"1"	"34"	"2"	"4"	"0.5"	"1"	"1"
"21"	"2"	"2"	"0"	"0"	"2"	"115"	"1.5"	"3"	"0.5"	"1"	"57"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"81"	"0"	"0"	"0.5"	"1"	"58"	"2"	"4"	"0.5"	"1"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
