measure	notesA	position	notesB
1	0	0	2
1	1	8	1
1	2	16	2
1	2	24	0
1	2	32	0
1	0	36	1
1	1	40	0
2	2	48	1
2	1	51	0
2	1	54	0
2	0	56	1
2	1	57	0
2	2	60	0
2	1	63	0
2	0	64	2
2	1	66	0
2	1	69	0
2	1	72	1
2	0	80	1
2	1	84	0
2	0	88	2
3	1	96	1
3	0	104	1
3	0	112	2
3	0	120	1
3	0	128	1
3	1	132	0
3	0	136	2
4	2	144	1
4	1	147	0
4	1	150	0
4	0	152	1
4	1	153	0
4	2	156	0
4	1	159	0
4	0	160	2
4	1	162	0
4	1	165	0
4	1	168	1
4	0	176	1
4	1	180	0
4	0	184	2
